活动ID,兑换任务ID,兑换参数1 ,兑换次数限制,兑换任务描述,兑换奖励,宣传图,兑换次数语言包
活动的唯一id ,一个活动下可以有多个任务iD；,,,,,,
GameOp_ID,Exchange_ID,Exchange_Type1,Exchange_limit,Exchange_des,Exchange_reward,Exchange_Pic2,Exchange_limitdes
index,index,jsons,int,int,jsons,string,
5001,1,[124+3],10,2145,[50032+1],operate_newyear_db2.png,
5001,2,[124+3],10,2145,[50008+1],,
5001,3,[124+3],10,2145,[50015+1],,
5001,4,[124+3],10,2145,[50025+1],,
5001,5,[124+3],10,2145,[2+50],,
5001,6,[124+3],10,2145,[251+1],,
5001,7,[124+2],10,2145,[1+10000],,
5001,8,[124+1],20,2145,[253+1],,
